C0000005	(131)i-maa	(131)i-macroaggregated albumin
C0000039	1,2-dihexadecyl-sn-glycerophosphocholine	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	dipalmitoylphosphatidylcholine 0102	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	phosphatidylcholine, dipalmitoyl	dipalmitoylphosphatidylcholine
C0000039	dppc	1,2 dihexadecyl sn glycerophosphocholine
C0000039	phosphatidylcholine, dipalmitoyl	1,2-dipalmitoylphosphatidylcholine
C0000039	dipalmitoyllecithin	1,2-dipalmitoyl-glycerophosphocholine
C0000039	1,2 dipalmitoyl glycerophosphocholine	dipalmitoylphosphatidylcholine (substance)
C0000039	dipalmitoylglycerophosphocholine	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	1,2-dipalmitoylphosphatidylcholine	dipalmitoylphosphatidylcholine (substance)
C0000039	1,2 dipalmitoyl glycerophosphocholine	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoylphosphatidylcholine 0102	1,2-dihexadecyl-sn-glycerophosphocholine
C0000039	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide	1,2 dihexadecyl sn glycerophosphocholine
C0000039	1,2 dipalmitoyl glycerophosphocholine	dipalmitoylphosphatidylcholine
C0000039	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide	dipalmitoyl phosphatidylcholine
C0000039	1,2-dipalmitoyl-glycerophosphocholine	1,2 dihexadecyl sn glycerophosphocholine
C0000039	dppc	dipalmitoylphosphatidylcholine
C0000039	dipalmitoylphosphatidylcholine	dipalmitoyl phosphatidylcholine
C0000039	1,2 dipalmitoyl glycerophosphocholine	dipalmitoyl phosphatidylcholine
C0000039	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoylphosphatidylcholine 0102	1,2 dihexadecyl sn glycerophosphocholine
C0000039	1,2-dipalmitoylphosphatidylcholine	dipalmitoylphosphatidylcholine 0102
C0000039	dipalmitoyllecithin	dipalmitoylphosphatidylcholine (substance)
C0000039	dipalmitoylphosphatidylcholine (substance)	dppc
C0000039	dipalmitoyllecithin	dppc
C0000039	1,2-dipalmitoylphosphatidylcholine	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	phosphatidylcholine, dipalmitoyl	3,5,9-trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-n,n,n-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide
C0000039	dipalmitoylphosphatidylcholine (substance)	dipalmitoylphosphatidylcholine
C0000039	1,2-dipalmitoylphosphatidylcholine	1,2-dipalmitoyl-glycerophosphocholine
C0000039	1,2-dipalmitoylphosphatidylcholine	dipalmitoylphosphatidylcholine
C0000039	1,2 dipalmitoyl glycerophosphocholine	1,2-dihexadecyl-sn-glycerophosphocholine
C0000039	dipalmitoylglycerophosphocholine	dipalmitoylphosphatidylcholine
C0000039	1,2-dihexadecyl-sn-glycerophosphocholine	1,2 dihexadecyl sn glycerophosphocholine
C0000039	dppc	1,2-dipalmitoyl-glycerophosphocholine
C0000039	dipalmitoylglycerophosphocholine	dipalmitoylphosphatidylcholine 0102
C0000039	dipalmitoylglycerophosphocholine	dppc
C0000039	dipalmitoylglycerophosphocholine	1,2-dipalmitoylphosphatidylcholine
C0000039	phosphatidylcholine, dipalmitoyl	1,2-dipalmitoyl-glycerophosphocholine
